"Gender","IQ","Other","Test","group2"
"m",88.6978611447943,0.69820893695578,-2.09809266241738,"A"
"f",60.6092981971626,0.98566635674797,-0.0514084572700748,"A"
"f",92.113875602756,0.190395003883168,0.304472335175582,"A"
"m",99.752136557895,0.251276748953387,-0.941858362122844,"A"
"m",115.067020708866,0.243475501425564,1.33497783048632,"A"
"f",77.0757171982306,0.509088934399188,0.122835122256123,"B"
"f",84.4306101760389,0.18057424412109,0.783499717724839,"B"
"f",99.6962274369208,0.0182246090844274,0.878218708297123,"B"
"m",114.234294647769,0.984778662212193,-0.107697960007552,"B"
"f",95.240239205803,0.988409330602735,1.80833875988237,"B"
